date,gold_sentiment,source
2019-06-13,0.9985795231471101,businessnews.com.au
2019-06-10,0.9998266576929047,Africa Feeds
2019-06-15,-0.9908120486406723,ScienceDirect.com
2019-06-17,0.9999802397385661,Forbidden Stories
2019-06-18,0.9966613564491239,World Gold Council
2019-06-20,0.9999422678144806,Mining.com
2019-06-20,7.852250695601843e-15,Bloomberg.com
2019-06-18,-0.8804374323875901,InSight Crime
2019-06-20,3.814373452282599e-08,Mint
2019-06-20,0.9996277362239839,Halifax Examiner
2019-06-19,0.9999540364834296,"Eleven Media Group Co., Ltd"
2019-06-16,0.8298052936194867,Bloomberg.com
2019-06-19,0.997212047078071,Hetq.am
2019-06-19,0.015551897919749732,The Hindu
2019-06-17,0.997802473758662,Mining.com
2019-06-16,0.9991073036464274,Borneo Post
2019-06-18,0.9997756578410543,Mining.com
2019-06-21,0.005812410888382263,CNN
2019-06-25,0.9998491076488731,USFunds
2019-06-24,0.9360808133887786,ETF Trends
2019-06-20,0.9999422678144806,Mining.com
2019-06-25,0.9804331482577322,Al Jazeera
2019-06-20,7.852297494172179e-15,Bloomberg.com
2019-06-21,0.3828622692389595,The Washington Post
2019-06-25,2.4464484049673592e-09,Investopedia
2019-06-24,8.011083858441933e-08,Australian Broadcasting Corporation
2019-06-20,3.814358770537036e-08,Mint
2019-06-21,0.9999169936889724,www.israelhayom.com
2019-06-20,0.9996277362603777,Halifax Examiner
2019-06-22,0.5786647867939465,Dailynewsegypt
2019-06-21,0.9999430491458882,Businessday NG
2019-06-24,0.9999931850234163,Mining.com
2019-06-21,0.999805002557211,Daily Express
2019-06-27,0.9818646227176007,ScienceDirect.com
2019-06-25,0.9998491078489474,USFunds
2019-06-28,0.4776854749963576,ETF Trends
2019-06-25,0.9804331482577322,Al Jazeera
2019-06-25,2.446461998260517e-09,Investopedia
2019-06-26,0.9999541270895304,매일경제
2019-06-26,4.9976313185738256e-06,CBC
2019-06-28,0.9265453647195201,Mint
2019-06-28,0.9999937561192479,Gold Price
2019-06-26,0.9997161578888757,Mining.com
2019-06-26,0.8564769333982377,Moneycontrol
2019-06-27,7.461616570382697e-14,Forex Focus
2019-06-28,-0.002551516387262252,BusinessLIVE
2019-06-27,-0.9961670563359896,Qatar Tribune
2019-06-27,0.9996321689340278,Polity.org.za
2019-07-05,-0.9999769257654378,MarketWatch
2019-07-04,0.9999225448789729,Mining.com
2019-07-01,0.9950520335870434,ING.com
2019-07-05,0.9829378681059927,Gold Country Media
2019-07-02,0.5955460529372767,smallcaps.com.au
2019-07-02,0.9992515368117074,Mining Technology
2019-07-01,0.9999551695099202,Gold Price
2019-07-03,1.7391541504641116e-12,Newswire :) Press Release Distribution
2019-07-02,0.9999538329738326,Businessday NG
2019-07-02,0.9997945153220034,Demerara Waves Online News- Guyana
2019-07-02,0.9995597595657835,newssourcegy.com
2019-07-01,0.992890800148653,power 98.7
2019-07-01,-0.3406331071115622,Australian Broadcasting Corporation
2019-07-05,0.999943257752223,The Sun Nigeria
2019-07-09,0.9999106350460208,新华网
2019-07-05,-0.9999769257654378,MarketWatch
2019-07-10,0.9996974297811678,PennyStocks.com
